batter,family,pitches,whiff,slg,xwoba
457705,Breaking,126,0.46551724137931033,0.13636363636363635,0.16675
457705,Fastball,241,0.23636363636363636,0.35185185185185186,0.2841340545454546
457705,Offspeed,43,0.3888888888888889,0.3333333333333333,0.08875000000000001
467793,Fastball,91,0.21739130434782608,0.05,0.16759884615384618
467793,Offspeed,48,0.25,0.4,0.3254041428571428
500743,Breaking,208,0.21428571428571427,0.3829787234042553,0.3427288039215686
500743,Fastball,434,0.10087719298245613,0.47107438016528924,0.3336140081967213
500743,Offspeed,106,0.3018867924528302,0.22727272727272727,0.2058181818181818
502671,Breaking,464,0.26804123711340205,0.40217391304347827,0.28800305102040813
502671,Fastball,700,0.27472527472527475,0.4857142857142857,0.3123197802197802
502671,Offspeed,191,0.27380952380952384,0.37209302325581395,0.3212931956521739
506702,Breaking,41,0.21428571428571427,0.0,0.08
506702,Fastball,128,0.3116883116883117,0.14705882352941177,0.1219032258064516
514888,Breaking,582,0.2857142857142857,0.38028169014084506,0.22089987857142857
514888,Fastball,831,0.1775,0.41964285714285715,0.31850032786885246
514888,Offspeed,194,0.26506024096385544,0.225,0.21539045238095236
516782,Breaking,176,0.32323232323232326,0.3018867924528302,0.23997237735849059
516782,Fastball,395,0.22,0.32051282051282054,0.31710591566265056
516782,Offspeed,123,0.38461538461538464,0.375,0.28543333333333337
518595,Breaking,58,0.43333333333333335,0.3076923076923077,0.2989715
518595,Fastball,141,0.25757575757575757,0.22580645161290322,0.3360008181818182
518692,Breaking,693,0.2908496732026144,0.38235294117647056,0.35733833108108104
518692,Fastball,1247,0.18922852983988356,0.5415162454873647,0.3916505487012987
518692,Offspeed,341,0.17532467532467533,0.3561643835616438,0.3303547042253521
519317,Breaking,130,0.5074626865671642,0.47368421052631576,0.31255715625
519317,Fastball,242,0.30097087378640774,0.35714285714285715,0.30961746341463414
519317,Offspeed,79,0.3157894736842105,0.5,0.3719056086956522
521692,Breaking,725,0.3157894736842105,0.31413612565445026,0.23828702512562813
521692,Fastball,928,0.20702402957486138,0.43564356435643564,0.3813502100456621
521692,Offspeed,216,0.23448275862068965,0.43661971830985913,0.22504264000000002
542303,Breaking,381,0.41916167664670656,0.2318840579710145,0.21426870588235292
542303,Fastball,739,0.19936708860759494,0.37209302325581395,0.34600922598870054
542303,Offspeed,188,0.4634146341463415,0.19230769230769232,0.2602778275862069
543309,Breaking,315,0.38345864661654133,0.13432835820895522,0.21109999999999998
543309,Fastball,424,0.15544041450777202,0.5510204081632653,0.3454355825242718
543309,Offspeed,81,0.46153846153846156,0.5384615384615384,0.3232749375
543510,Breaking,176,0.4215686274509804,0.4339622641509434,0.21241198
543510,Fastball,253,0.1592920353982301,0.5357142857142857,0.37360805454545454
543510,Offspeed,76,0.3181818181818182,0.3888888888888889,0.14498931250000002
543760,Breaking,623,0.3210702341137124,0.15753424657534246,0.20205924161073824
543760,Fastball,857,0.17084282460136674,0.5,0.3584988133333334
543760,Offspeed,175,0.30952380952380953,0.3684210526315789,0.3642541860465116
543807,Breaking,526,0.2897959183673469,0.42857142857142855,0.24491615909090908
543807,Fastball,981,0.1734475374732334,0.441747572815534,0.33947107555555556
543807,Offspeed,211,0.33653846153846156,0.3333333333333333,0.2871841428571429
543877,Breaking,284,0.304,0.2033898305084746,0.174417186440678
543877,Fastball,605,0.15807560137457044,0.41721854304635764,0.2725624050632911
543877,Offspeed,68,0.17647058823529413,0.15384615384615385,0.192547
545121,Breaking,437,0.21495327102803738,0.41935483870967744,0.2739142134831461
545121,Fastball,752,0.10526315789473684,0.4492753623188406,0.3347311658986175
545121,Offspeed,265,0.16233766233766234,0.3291139240506329,0.28695769620253164
545341,Breaking,210,0.375,0.5660377358490566,0.32766740350877194
545341,Fastball,466,0.1581196581196581,0.46296296296296297,0.32000558823529407
545341,Offspeed,135,0.36363636363636365,0.6382978723404256,0.38335
545361,Breaking,546,0.3439153439153439,0.39361702127659576,0.30989350485436895
545361,Fastball,1391,0.18962432915921287,0.4653846153846154,0.41643707886435327
545361,Offspeed,230,0.3103448275862069,0.39215686274509803,0.3229417818181818
547180,Breaking,813,0.3835294117647059,0.49079754601226994,0.3745342953367876
547180,Fastball,1026,0.22755741127348644,0.5637254901960784,0.4286970948616601
547180,Offspeed,342,0.2897727272727273,0.3181818181818182,0.32289074226804126
553869,Breaking,197,0.36036036036036034,0.39655172413793105,0.2564237288135593
553869,Fastball,370,0.2358974358974359,0.4189189189189189,0.27215918181818183
553869,Offspeed,62,0.27906976744186046,0.2222222222222222,0.22940740740740745
553993,Breaking,516,0.5126050420168067,0.3391304347826087,0.24085576422764227
553993,Fastball,936,0.2540792540792541,0.475,0.3178800504587156
553993,Offspeed,165,0.41975308641975306,0.2571428571428571,0.16358416216216218
571448,Breaking,675,0.31561461794019935,0.25165562913907286,0.23028048780487803
571448,Fastball,1049,0.14947368421052631,0.6,0.3529284315352697
571448,Offspeed,208,0.35185185185185186,0.4117647058823529,0.25385807272727273
571657,Fastball,83,0.4444444444444444,0.16666666666666666,0.18342857142857144
571771,Fastball,64,0.13953488372093023,0.4444444444444444,0.2556666666666667
571912,Fastball,67,0.25,0.25,0.15552530769230768
571970,Breaking,645,0.3643724696356275,0.4396551724137931,0.2898307063492064
571970,Fastball,849,0.19395465994962216,0.6137566137566137,0.4252442047619048
571970,Offspeed,371,0.4010152284263959,0.35789473684210527,0.263451801980198
572233,Breaking,709,0.38235294117647056,0.5,0.26951588023952094
572233,Fastball,1130,0.23857868020304568,0.3895582329317269,0.32118452482269505
572233,Offspeed,199,0.35,0.49019607843137253,0.31400936538461544
573262,Breaking,362,0.273972602739726,0.4177215189873418,0.2770499310344828
573262,Fastball,846,0.2289855072463768,0.4121212121212121,0.3205802887700535
573262,Offspeed,177,0.20689655172413793,0.3695652173913043,0.30207436363636364
575929,Breaking,567,0.39622641509433965,0.4180327868852459,0.3143424047619047
575929,Fastball,1065,0.240234375,0.5288888888888889,0.41693046570397113
575929,Offspeed,285,0.4025974025974026,0.6567164179104478,0.33816937142857145
592206,Breaking,189,0.41284403669724773,0.4444444444444444,0.2726471860465116
592206,Fastball,252,0.24675324675324675,0.3283582089552239,0.3217813387096774
592206,Offspeed,79,0.41025641025641024,0.058823529411764705,0.176125
592450,Breaking,375,0.3614457831325301,0.47560975609756095,0.37503782954545456
592450,Fastball,574,0.2575107296137339,0.6185567010309279,0.46065983898305085
592450,Offspeed,206,0.44680851063829785,0.4883720930232558,0.3738292291666667
592518,Breaking,678,0.34177215189873417,0.2925170068027211,0.23206283850931675
592518,Fastball,1217,0.20103986135181975,0.5075187969924813,0.4008552073578595
592518,Offspeed,239,0.30952380952380953,0.22950819672131148,0.23695607575757577
592626,Breaking,492,0.3456221198156682,0.4158415841584158,0.2969710654205608
592626,Fastball,832,0.2879177377892031,0.5847953216374269,0.4019413435897436
592626,Offspeed,297,0.32167832167832167,0.32432432432432434,0.27491155128205125
592663,Breaking,466,0.3,0.38095238095238093,0.2792179111111111
592663,Fastball,814,0.18944844124700239,0.3480392156862745,0.33933971681415936
592663,Offspeed,187,0.33980582524271846,0.1794871794871795,0.2959084102564103
592885,Breaking,531,0.42738589211618255,0.2777777777777778,0.24217932558139535
592885,Fastball,1026,0.22746781115879827,0.35353535353535354,0.3465795140186916
592885,Offspeed,165,0.2878787878787879,0.7297297297297297,0.3214461282051282
593428,Breaking,652,0.3183673469387755,0.2845528455284553,0.2825642554744526
593428,Fastball,1071,0.13882863340563992,0.3953488372093023,0.36364048287671236
593428,Offspeed,219,0.39805825242718446,0.15555555555555556,0.20518922448979593
593871,Breaking,160,0.3392857142857143,0.5151515151515151,0.2778331935483871
593871,Fastball,330,0.14743589743589744,0.14666666666666667,0.24756371621621626
593871,Offspeed,145,0.3287671232876712,0.16666666666666666,0.17273920512820512
595879,Breaking,221,0.35766423357664234,0.22535211267605634,0.21151953846153848
595879,Fastball,242,0.19491525423728814,0.48333333333333334,0.35045687719298246
595879,Offspeed,70,0.32558139534883723,0.43478260869565216,0.2281904761904762
595978,Breaking,233,0.34782608695652173,0.15555555555555556,0.21003163829787233
595978,Fastball,467,0.17757009345794392,0.45454545454545453,0.30515102380952386
595978,Offspeed,53,0.25925925925925924,0.5,0.37385714285714294
596019,Breaking,356,0.3,0.45161290322580644,0.35058440625
596019,Fastball,781,0.20670391061452514,0.39263803680981596,0.374191262295082
596019,Offspeed,276,0.26573426573426573,0.4153846153846154,0.2702267049180328
596103,Breaking,59,0.3157894736842105,0.4,0.17114285714285712
596103,Fastball,190,0.19,0.28205128205128205,0.26625095652173913
596103,Offspeed,65,0.5714285714285714,0.13333333333333333,0.19476923076923078
596115,Breaking,234,0.3816793893129771,0.3194444444444444,0.19863024637681162
596115,Fastball,402,0.24528301886792453,0.39080459770114945,0.29998738372093026
596115,Offspeed,80,0.40384615384615385,0.18181818181818182,0.1968
596117,Breaking,65,0.4,0.23529411764705882,0.190923125
596117,Fastball,142,0.08333333333333333,0.125,0.27694385714285713
596142,Breaking,327,0.32727272727272727,0.35714285714285715,0.2755080338983051
596142,Fastball,477,0.14619883040935672,0.5631067961165048,0.41693608730158727
596142,Offspeed,174,0.4507042253521127,0.30303030303030304,0.2495861388888889
596146,Breaking,108,0.3064516129032258,0.3125,0.24579022857142852
596146,Fastball,242,0.18421052631578946,0.39215686274509803,0.34357994736842107
596146,Offspeed,112,0.29411764705882354,0.25,0.18056267741935483
600869,Breaking,50,0.5769230769230769,0.0,0.29828877777777785
600869,Fastball,80,0.3488372093023256,0.6875,0.11374999999999999
602104,Breaking,94,0.22727272727272727,0.7083333333333334,0.43043564285714286
602104,Fastball,155,0.2112676056338028,0.125,0.24277674999999999
605137,Breaking,518,0.29957805907172996,0.43564356435643564,0.3248715398230089
605137,Fastball,1023,0.1958955223880597,0.45634920634920634,0.354043276119403
605137,Offspeed,500,0.2803347280334728,0.3274336283185841,0.2811987672413794
605141,Breaking,428,0.2484472049689441,0.4090909090909091,0.28896609677419355
605141,Fastball,874,0.05789473684210526,0.44017094017094016,0.34832864049586776
605141,Offspeed,174,0.21951219512195122,0.30434782608695654,0.2874628666666667
605170,Breaking,340,0.35537190082644626,0.4642857142857143,0.3315711076923077
605170,Fastball,754,0.11940298507462686,0.3404255319148936,0.3386549425837321
605170,Offspeed,234,0.38235294117647056,0.23214285714285715,0.24213888135593217
605244,Fastball,56,0.22580645161290322,0.23529411764705882,0.2030909090909091
606115,Breaking,80,0.16666666666666666,0.2222222222222222,0.14057142857142857
606115,Fastball,117,0.22058823529411764,0.5,0.3122423214285715
606192,Breaking,384,0.42592592592592593,0.3763440860215054,0.24036752631578945
606192,Fastball,901,0.24475524475524477,0.4846938775510204,0.3635998097560975
606192,Offspeed,230,0.45217391304347826,0.3269230769230769,0.28110363636363633
606466,Breaking,524,0.26459143968871596,0.44881889763779526,0.3506281739130435
606466,Fastball,893,0.11136890951276102,0.5276595744680851,0.39301875
