player_id,name,pa,brl_pa,brl_pct,hardhit,avg_ev,slg,xslg,xiso
650333,Luis Arraez,433,0.5,0.5,20.9,86.9,0.449,0.371,0.08500000000000002
663538,Nico Hoerner,455,0.7,0.8,27.9,86.1,0.335,0.368,0.07500000000000001
676391,Ernie Clement,412,2.2,2.5,22.4,85.0,0.425,0.344,0.08699999999999997
672640,Otto Lopez,437,5.5,6.9,42.4,89.4,0.495,0.44,0.15100000000000002
645277,Ozzie Albies,452,3.3,4.3,27.1,86.7,0.441,0.361,0.125
606466,Ketel Marte,441,8.0,10.3,44.2,91.0,0.453,0.486,0.196
802415,Chandler Simpson,391,0.0,0.0,13.9,83.7,0.356,0.296,0.03699999999999998
666182,Bo Bichette,449,5.0,6.6,42.6,89.8,0.369,0.415,0.13499999999999995
647304,Josh Naylor,421,3.8,4.8,36.1,87.4,0.353,0.393,0.121
676475,Alec Burleson,437,8.5,11.2,48.0,91.7,0.467,0.533,0.23600000000000004
608324,Alex Bregman,468,3.0,4.3,36.0,87.8,0.351,0.345,0.11399999999999996
650490,Yandy Díaz,441,5.3,7.0,46.8,90.7,0.465,0.446,0.15800000000000003
669364,Xavier Edwards,442,3.2,4.3,28.8,87.1,0.404,0.372,0.10999999999999999
808982,Jung Hoo Lee,384,1.8,2.2,28.4,87.0,0.435,0.382,0.08700000000000002
695734,Daylen Lile,433,6.1,8.1,36.1,88.2,0.407,0.415,0.15999999999999998
683002,Gunnar Henderson,476,4.7,6.9,44.1,89.4,0.407,0.383,0.14800000000000002
643289,Mauricio Dubón,411,3.7,4.7,30.8,86.5,0.41,0.387,0.119
665487,Fernando Tatis Jr.,459,7.7,11.0,53.3,92.1,0.398,0.441,0.15400000000000003
665489,Vladimir Guerrero Jr.,425,5.2,6.9,43.5,90.2,0.358,0.408,0.12
661388,William Contreras,416,5.6,7.3,42.6,90.1,0.392,0.438,0.16899999999999998
805808,Kevin McGonigle,447,5.4,7.6,38.1,88.2,0.417,0.439,0.172
802139,JJ Wetherholt,448,5.2,7.3,45.1,90.0,0.398,0.435,0.177
607208,Trea Turner,450,4.7,6.7,41.3,88.9,0.386,0.372,0.128
518692,Freddie Freeman,442,7.3,10.3,44.2,90.2,0.488,0.502,0.203
664761,Alec Bohm,407,4.2,5.4,42.6,90.6,0.367,0.378,0.131
691406,Junior Caminero,456,9.1,13.2,51.6,93.1,0.548,0.506,0.22599999999999998
681624,Andy Pages,447,5.9,8.4,44.1,89.1,0.459,0.441,0.173
672695,Geraldo Perdomo,433,2.1,2.9,29.0,87.0,0.347,0.33,0.08500000000000002
686797,Brooks Lee,406,3.0,3.9,31.6,87.7,0.422,0.329,0.10400000000000001
666176,Jo Adell,430,6.1,8.5,43.3,89.6,0.398,0.441,0.178
702284,Cole Young,416,3.9,5.2,38.2,88.3,0.398,0.42,0.14399999999999996
641355,Cody Bellinger,434,4.4,6.2,37.2,89.1,0.42,0.419,0.14199999999999996
677587,Brayan Rocchio,398,2.3,3.0,32.1,86.5,0.402,0.357,0.10399999999999998
681198,TJ Rumfield,415,3.9,5.3,28.4,83.9,0.478,0.386,0.131
669477,Casey Schmitt,404,9.5,12.5,44.6,89.8,0.487,0.516,0.22600000000000003
701398,Sal Stewart,449,9.4,13.9,40.3,90.4,0.468,0.472,0.22299999999999998
678246,Miguel Vargas,444,10.0,14.6,45.8,90.4,0.48,0.525,0.256
